run_id,tester_role,case_id,status,severity,actual_result,expected_result,url,screenshot_path,notes
2026-02-22-run1,COACH,C1,PASS,NA,"","","https://coach-kit.vercel.app/coach/athletes/user-athlete-one/ai-plan-builder","",""
2026-02-22-run1,COACH,C2,PASS,NA,"","","https://coach-kit.vercel.app/coach/athletes/user-athlete-one/ai-plan-builder","",""
2026-02-22-run1,COACH,C3,PASS,NA,"","","https://coach-kit.vercel.app/coach/athletes/user-athlete-one/ai-plan-builder","",""
2026-02-22-run1,COACH,C4,PASS,NA,"","","https://coach-kit.vercel.app/coach/athletes/user-athlete-one/ai-plan-builder","",""
2026-02-22-run1,COACH,C5,PASS,NA,"","","https://coach-kit.vercel.app/coach/athletes/user-athlete-one/ai-plan-builder","",""
2026-02-22-run1,COACH,C6,PASS,NA,"","","https://coach-kit.vercel.app/coach/athletes/user-athlete-one/ai-plan-builder","",""
2026-02-22-run1,COACH,C7,PASS,NA,"","","https://coach-kit.vercel.app/coach/athletes/user-athlete-one/ai-plan-builder","",""
2026-02-22-run1,COACH,C8,PASS,NA,"","","https://coach-kit.vercel.app/coach/athletes/user-athlete-one/ai-plan-builder","",""
2026-02-22-run1,COACH,C9,PASS,NA,"","","https://coach-kit.vercel.app/coach/athletes/user-athlete-one/ai-plan-builder","",""
2026-02-22-run1,COACH,C10,PASS,NA,"","","https://coach-kit.vercel.app/coach/scheduling","",""
2026-02-22-run1,ATHLETE,A1,PASS,NA,"","","https://coach-kit.vercel.app/athlete/profile","",""
2026-02-22-run1,ATHLETE,A2,PASS,NA,"","","https://coach-kit.vercel.app/athlete/workout-schedule","",""
2026-02-22-run1,ATHLETE,A3,PASS,NA,"","","https://coach-kit.vercel.app/athlete/workout-schedule","",""
2026-02-22-run1,ATHLETE,A4,PASS,NA,"","","https://coach-kit.vercel.app/athlete/notifications","",""
